parameter_name,source_file,source_lines,code_default,code_unit,formula_or_behavior,random_distribution,allowed_range,documentation_evidence,first_release_decision,audit_status,notes
grainsize,Pysimxrd/generator.py;Pysimxrd/utils/MatgenKit.py,19;36;58-60,20,angstrom per doc,"Gamma=0.888*wavelength/(D*cos(theta)); gamma=Gamma/2; sigma2=Gamma^2/(8*sqrt(2))",none,positive,"generator docstring only",exclude,blocked,"Formula convention normally yields radians but code passes the value as an angular width without radian-to-degree conversion"
prefect_orientation,Pysimxrd/generator.py;Pysimxrd/utils/MatgenKit.py,19;37;65,"[0.1,0.1]","documented as degree but code uses dimensionless clip width","per-peak Normal(1,0.2) clipped to [1-o0,1+o0]",first element nonnegative;second unused,"generator docstring conflicts with implementation",exclude,blocked,"Typo in public parameter name; second list element is unused"
thermo_vibration,Pysimxrd/generator.py;Pysimxrd/utils/MatgenKit.py,19;42;66-68,0.1,angstrom,"M=(8/3)*pi^2*u^2*(sin(theta)/wavelength)^2; intensity multiplied by exp(-2M)",none,nonnegative,"generator docstring",exclude,needs_evidence,"Candidate later feature flag only"
zero_shift,Pysimxrd/generator.py;Pysimxrd/utils/WPEMsim.py,20;51;93,0.1,degree,"WPEM branch adds scalar to full x axis; default Matgen branch ignores it",none,unbounded in code,"generator docstring",independent_reimplementation,partial,"V7 uses explicit delta_2theta_deg and evidence-backed ranges"
dis_detector2sample,Pysimxrd/generator.py;Pysimxrd/utils/funs.py,20;48;72;526-540,500,mm in doc then divided by 10,"Used as L in axial-divergence geometry after division by 10",none,positive,"generator docstring and Van Laar/Yelon comment",exclude,blocked,"L is converted while H and S remain documented in mm; unit consistency is unresolved"
half_height_slit_detector,Pysimxrd/generator.py;Pysimxrd/utils/funs.py,20;49;526-540,5,mm,"Used as H in axial-divergence geometry",none,positive,"generator docstring",exclude,blocked,"Must be checked against actual instrument and L/H/S unit consistency"
half_height_sample,Pysimxrd/generator.py;Pysimxrd/utils/funs.py,20;50;526-540,2.5,mm,"Used as S in axial-divergence geometry",none,positive,"generator docstring",exclude,blocked,"Must be checked against actual instrument and L/H/S unit consistency"
deformation,Pysimxrd/generator.py;Pysimxrd/utils/funs.py,21;31;470-509,False,boolean,"If enabled applies diagonal scaling then positive-only shear to conventional lattice",toggle,false or true,"generator docstring",feature_flag_off,partial,"Not part of first-release four perturbations"
sim_model,Pysimxrd/generator.py,21;32;73-97,None,enum,"None selects pymatgen path; WPEM selects custom diffraction path",none,None or WPEM,"generator docstring",exclude,audited,"Project keeps one V7 renderer interface instead of runtime model switching"
xrd,Pysimxrd/generator.py;Pysimxrd/utils/MatgenKit.py,21;33;87-89,reciprocal,enum,"real converts 2theta to d spacing; reciprocal returns 2theta",none,reciprocal or real,"generator docstring",exclude,audited,"V7 model input remains fixed 2theta grid"
background_order,Pysimxrd/generator.py;Pysimxrd/utils/funs.py;Pysimxrd/utils/MatgenKit.py,21;43;417-419;80-85,6,polynomial degree,"Standard-normal coefficients; subtract minimum; scale by maximum; flip and add","Normal(0,1) coefficients","documented 4 or 6; not enforced","generator docstring",exclude,blocked,"Can generate uncontrolled shapes and uses global RNG"
background_ratio,Pysimxrd/generator.py;Pysimxrd/utils/MatgenKit.py,22;44;83,0.05,ratio to normalized peak maximum,"background/max(background)*max(signal)*ratio",none,nonnegative in intent;not validated,"generator docstring",independent_reimplementation,partial,"V7 uses background_to_peak_ratio with a fixed nonnegative shape"
mixture_noise_ratio,Pysimxrd/generator.py;Pysimxrd/utils/MatgenKit.py,22;45;84,0.02,ratio to normalized peak maximum,"Adds independent positive noise in [0,max(signal)*ratio]","Uniform(0,max*ratio)",nonnegative in intent;not validated,"generator docstring",exclude,blocked,"Not equivalent to the V7 zero-mean Gaussian noise_std_ratio option"
lattice_extinction_ratio,Pysimxrd/generator.py;Pysimxrd/utils/funs.py,22;38;487-502,0.01,dimensionless,"Independent axis scales sampled in [1-r,1+r] when deformation is enabled","Uniform(1-r,1+r)",not validated,"generator docstring",feature_flag_off,partial,"Name says extinction but behavior is axis scaling"
lattice_torsion_ratio,Pysimxrd/generator.py;Pysimxrd/utils/funs.py,22;39;495-502,0.01,dimensionless,"Six off-diagonal shear entries sampled only from [0,r]","Uniform(0,r)",not validated,"generator docstring",feature_flag_off,blocked,"Positive-only sampling introduces directional bias"
wavelength,Pysimxrd/utils/MatgenKit.py;Pysimxrd/utils/WPEMsim.py,53;44,1.54184,angstrom,"Hard-coded Cu-like wavelength used in diffraction and broadening formulas",none,fixed,"source code only",exclude,needs_evidence,"V7 controls wavelength through SimulationGrid/pymatgen"
two_theta_grid_matgen,Pysimxrd/utils/MatgenKit.py,54;70,"10 to less than 80 step 0.02",degree,"np.arange(10,80,0.02); 3500 points",none,fixed,"source code only",exclude,audited,"V7 uses inclusive 10 to 80 grid with 3501 points"
two_theta_grid_wpem,Pysimxrd/utils/WPEMsim.py,45;84;103-110,"8 to less than 82.02 then cropped to 10 to less than 80",degree,"shifted axis is used to locate crop indices; returned x axis is reset",none,fixed,"source code only",exclude,blocked,"Cropping and zero-shift interaction requires separate validation"
peak_profile,Pysimxrd/utils/funs.py,543-604,"Voigt+axial+slit+distortion",mixed,"Convolves Voigt axial divergence slit and Gaussian distortion then area normalizes",none,hard-coded components,"Van Laar/Yelon comment only for axial term",feature_flag_off,blocked,"Instrument suitability and numerical singularities require dedicated tests"
output_normalization,Pysimxrd/utils/MatgenKit.py;Pysimxrd/utils/funs.py,77-86;410-415,"area normalize then max scale to 100",arbitrary intensity,"Profile is area-normalized before background/noise then scaled by maximum",none,fixed,"source code only",exclude,audited,"V7 uses its own explicit post-perturbation max normalization"
