source_id,paper_title,parameter,physical_mechanism,raw_value,raw_unit,sampling_distribution,normalization_definition,operator_formula,task,powder_or_film,single_or_multiphase,train_or_test_use,source_location,code_or_supplement_verified,mechanism_grade,numeric_transfer_grade,transfer_decision,V7_mapping,notes
SZY_2021,Szymanski et al. 2021,lattice_strain,nonuniform peak shift,"up to +/-4% in paper; +/-3% repository default",percent,"strain tensor / repository default",not a V7 intensity parameter,modify lattice parameter matrix while preserving space group,multiphase phase identification,powder,multiphase,training and artifact tests,"01_Szymanski_2021_XRD_AutoAnalyzer.pdf main text p.3; XRD-AutoAnalyzer/README.md:77",true,A,B,rejected_for_delta_2theta,none,Keep separate from zero-point calibration.
SZY_2021,Szymanski et al. 2021,uniform_shift,sample-height or calibration shift,"up to +/-0.5",degree,uniform bounded stress value,angle axis,add one scalar to every 2theta peak,multiphase phase identification,powder,multiphase,training/artifact simulation,"XRD-AutoAnalyzer/README.md:78; Novel-Space/construct_xrd_model.py:13",true,A,B,candidate,delta_2theta_deg,Code and README expose the physical angle unit.
SZY_2021,Szymanski et al. 2021,domain_size,Scherrer peak broadening,"1-100",nm,range used in paper,not an intensity ratio,Scherrer equation maps crystallite size to angle-dependent width,multiphase phase identification,powder,multiphase,training,"01_Szymanski_2021_XRD_AutoAnalyzer.pdf main text p.3",true,A,B,candidate,effective_fwhm_deg,Do not call the size itself FWHM.
SZY_2021,Szymanski et al. 2021,texture,relative peak intensity variation,"up to +/-50",percent,physics-informed bounded intensity change,relative peak intensity,orientation-weighted peak intensity,multiphase phase identification,powder,multiphase,training,"XRD-AutoAnalyzer/README.md:79",true,A,B,rejected_for_current_four_fields,none,Relevant for a future intensity/texture parameter.
SIM_2025,SimXRD-4M 2025,simulation_conditions,combined physical environments,33,conditions,33 repeated random combinations,pattern standardized to fixed input vector,compose grain/orientation/stress/scattering/thermal/instrument/noise effects,crystal-system and space-group classification,powder,single-phase,train/validation/test,"SimXRD-4M paper p.5 and Appendix B.4",true,A,B,candidate,profile_family,Paper gives condition count and mechanism coverage but not a single V7 range.
SIM_2025,SimXRD-4M 2025,zero_shift,global instrument offset,0.1,degree,default argument; distribution not specified,angle axis,add zero_shift to 2theta axis,crystal-system and space-group classification,powder,single-phase,simulation default,"SimXRD/src/generator.py:25-28,57; tutorial/template.ipynb output",true,A,B,candidate,delta_2theta_deg,Default is not a training range; tutorial also prints an example 0.771274 degree draw.
SIM_2025,SimXRD-4M 2025,background_ratio,polynomial scattering background,0.05,ratio to normalized peak scale,default argument; distribution not specified,normalized profile before final rescaling,"bac/bac.max * nor_y.max * background_ratio",crystal-system and space-group classification,powder,single-phase,simulation default,"SimXRD/src/generator.py:27-28,49-51; src/utils/WPEMsim.py:90-100",true,A,B,candidate,background_to_peak_ratio,Direct operator evidence; range transfer remains candidate.
SIM_2025,SimXRD-4M 2025,mixture_noise_ratio,uniform additive mixture noise,0.02,ratio to normalized peak scale,uniform per point from 0 to nor_y.max*ratio,normalized profile before final rescaling,"uniform(0, nor_y.max * mixture_noise_ratio)",crystal-system and space-group classification,powder,single-phase,simulation default,"SimXRD/src/generator.py:27-28,50-51; src/utils/WPEMsim.py:97-99",true,A,B,candidate,noise_std_ratio,"Operator is uniform noise, not Gaussian sigma."
XQ_2025,XQueryer 2025,zero_shift,global instrument offset,0.1,degree,default argument; distribution not specified,angle axis,add zero_shift to 2theta axis,crystal structure identification,powder,single-phase,simulation default,"XQueryer/sim/ht_simxrd.py:56-76,90-103",true,A,B,candidate,delta_2theta_deg,XQueryer source-only extraction retains the simulator interface.
XQ_2025,XQueryer 2025,background_ratio,polynomial scattering background,0.05,ratio to normalized peak scale,default argument; distribution not specified,normalized profile before final rescaling,"bac/bac.max * nor_y.max * background_ratio",crystal structure identification,powder,single-phase,simulation default,"XQueryer/sim/ht_simxrd.py:68-70; XQueryer/sim/WPEMsim.py:93-100",true,A,B,candidate,background_to_peak_ratio,Confirms the operator family but not a V7 range.
