priority,category,stage,filename,current_path,git_status,historical_commit,historical_path,size,sha256,description,why_yifeng_needs_it,already_on_github,safe_to_copy,notes
"MUST_TAKE","ALREADY_ON_GITHUB","1-13","PXRD_RRUFF_COLLABORATOR_MODULE_PROVENANCE.md","E:\AI4science\docs\PXRD_RRUFF_COLLABORATOR_MODULE_PROVENANCE.md","tracked_clean","cffd735a7d28bb9e3c094925e3c53aa2f5b5c28e","docs/PXRD_RRUFF_COLLABORATOR_MODULE_PROVENANCE.md","7809","F91CE1DA32557CC535B2C06721D33B29808D358CA54DB8F8B752A352D8A7218A","当前 RRUFF 贡献归属权威入口","证明 cuifa01/Yifeng 负责 RRUFF 设计执行审计与解释且 Git identity 不等于贡献者","YES_CURRENT_MAIN","YES","CURRENT_AUTHORITATIVE; 2026-09-01 形成; filesystem CRLF hash 与 Git blob hash可不同"
"MUST_TAKE","ALREADY_ON_GITHUB","10-13","rruff301_fewshot_results.json","E:\AI4science\xrd_robustness\reports\rruff301_fewshot_results.json","tracked_clean","99c930579916cb0fd7313a4143b18bee9c1dc78e","xrd_robustness/reports/rruff301_fewshot_results.json","3586","3978135157D8268491BAFF96A37DDF49AE59773D6631996E26EFD977181E5630","当前 RRUFF-301 公共结果摘要","锁定 K1 K2 K5 Macro-F1 Accuracy 与 68/75 正配对数字","YES_CURRENT_MAIN","YES","CURRENT_AUTHORITATIVE; current working-tree bytes"
"MUST_TAKE","ALREADY_ON_GITHUB","9","RRUFF301_COMPOSITION_AUDIT.md","E:\AI4science\xrd_robustness\reports\RRUFF301_COMPOSITION_AUDIT.md","tracked_clean","16acafe7f81e43f795136fa6ac3ea640398ba805","xrd_robustness/reports/RRUFF301_COMPOSITION_AUDIT.md","4867","2FB6CCED4FC06A06031DC40734062B9B77C9F01D84DCFFEAEB47FCE759503776","可读 split/composition audit","证明 70/231 分割与无 ID/SHA overlap","YES_CURRENT_MAIN","YES","CURRENT_AUTHORITATIVE"
"MUST_TAKE","ALREADY_ON_GITHUB","9","RRUFF301_COMPOSITION_AUDIT.json","E:\AI4science\xrd_robustness\reports\RRUFF301_COMPOSITION_AUDIT.json","tracked_clean","16acafe7f81e43f795136fa6ac3ea640398ba805","xrd_robustness/reports/RRUFF301_COMPOSITION_AUDIT.json","36051","0E9C3EF71F8A127B2ADA1D2FB556738044A6F086EBAA0E0086A468315CA9E403","机器可读 split/composition audit","复核 301 IDs 与 pairwise similarity","YES_CURRENT_MAIN","YES","CURRENT_AUTHORITATIVE"
"MUST_TAKE","ALREADY_ON_GITHUB","9","audit_rruff301_composition.py","E:\AI4science\xrd_robustness\scripts\audit_rruff301_composition.py","tracked_clean","0ef8d796176ba36fd1e4ad9e19ff9cac4201c57e","xrd_robustness/scripts/audit_rruff301_composition.py","18986","7330B93AF3EFEFFB30A07A3BD6A612C603DAADE262C5385434B3C0E736042394","只读 composition audit 脚本","未来可复核 split 组成与泄漏边界","YES_CURRENT_MAIN","YES","CURRENT_AUTHORITATIVE"
"MUST_TAKE","ALREADY_ON_GITHUB","1-13","PROJECT_HISTORY.md","E:\AI4science\docs\PROJECT_HISTORY.md","tracked_clean","de0c2908e3a8a17017ec39bf0e1718a41ef46bee","docs/PROJECT_HISTORY.md","184823","87FD6C09F83D8FD40FE5A63544ABFE33E6F845F0879D6723F7B86BB6F83B4486","综合项目历史档案","快速恢复 RRUFF 研究阶段与历史路径","YES_CURRENT_MAIN","YES","HISTORICAL_VALID; 不是当前执行或归属合同"
"SHOULD_TAKE","ALREADY_ON_GITHUB","13","PXRD_RESULT_REPORTING_STANDARD.md","E:\AI4science\docs\PXRD_RESULT_REPORTING_STANDARD.md","tracked_clean","15a5e24bf6bb4a7727a5c10f00f4dda77ffb232a","docs/PXRD_RESULT_REPORTING_STANDARD.md","7336","F86E1A5C6C9B429AD1CCAF2314B5C67A59E5DD70086AFD1BADF8D98EB5E120A9","当前 PXRD 报告口径","防止把 exploratory diagnostic 和 current locked-test 角色混淆","YES_CURRENT_MAIN","YES","CURRENT_AUTHORITATIVE"
"SHOULD_TAKE","ALREADY_ON_GITHUB","13","RESULTS.md","E:\AI4science\xrd_robustness\reports\RESULTS.md","tracked_clean","907c28780b5e25e29a88f4132bb8331c2377998d","xrd_robustness/reports/RESULTS.md","8673","06C40C1EAEA0C095D21768A7B77B6F4454B48EE81F7B0B7B5A172FDDC4A81E84","当前主结果叙事","对齐对外报告中的 RRUFF 直接 locked-test 角色","YES_CURRENT_MAIN","YES","CURRENT_AUTHORITATIVE"
"SHOULD_TAKE","ALREADY_ON_GITHUB","13","MANUSCRIPT.md","E:\AI4science\xrd_robustness\MANUSCRIPT.md","tracked_clean","90f8efef3eca92b1b5445fea05c358db10d78741","xrd_robustness/MANUSCRIPT.md","16628","4A3038EC6A20086F1518C5724A62DA4881044948438EE75D974E0A7CA5D26742","当前 manuscript 文本","保持个人叙事与共同论文结论一致","YES_CURRENT_MAIN","YES","CURRENT_AUTHORITATIVE"
"SHOULD_TAKE","ALREADY_ON_GITHUB","13","README.md","E:\AI4science\xrd_robustness\README.md","tracked_clean","3d1704e0683e52e2fcb1d7dee9acdddccf677cdb","xrd_robustness/README.md","9269","8E3BAF026345348C8E5221F67CAE5EE2BE3B4E409A5E74BB080D78D06B701B98","当前项目入口","提供当前路径和证据角色导航","YES_CURRENT_MAIN","YES","CURRENT_AUTHORITATIVE"
