relation_id,status,layer,relation,affected_outputs,literature_source,code_source,physics_basis,decision_note
R01,candidate_accept,"sample/instrument/acquisition","用三层虚拟测量状态组织五扰动，但状态不得读取晶系标签","all","SimXRD 2025 OpenReview PDF p.21","docs/V8_SIMXRD_SAMPLING_AUDIT.md:146-166","样品、仪器与采集因素具有不同物理来源","支持分层，不据此编造数值相关"
R02,candidate_accept,"sample+instrument","样品峰形成分与仪器峰形成分共同产生 effective_fwhm_deg","peak_width","CPICANN 2024 IUCrJ PDF p.3; SimXRD 2025 OpenReview PDF p.21; Salgado 2023 PDF p.10","src/xrd_robustness/simulator.py:199-204","观测峰宽可同时包含有限晶粒/微结构和仪器贡献","成分分布与组合公式未冻结"
R03,candidate_accept,"sample","择优取向参数与优选轴条件于当前结构反射表","preferred_orientation","March-Dollase physics; project literature registry","src/xrd_robustness/preferred_orientation.py:52-140","择优取向系统性改变晶面族强度而非任意逐峰缩放","沿用当前 V7 实现"
R04,candidate_accept,"acquisition","先加背景，再按总期望计数生成 Poisson-Gaussian 噪声","background;noise","CPICANN 2024 IUCrJ PDF p.3","src/xrd_robustness/measurement_models.py:49-268; src/xrd_robustness/simulator.py:209-272","shot-noise 方差条件于含背景的期望计数","不额外绑定 background parameter 与 count_scale"
R05,candidate_accept,"all","状态参数可复用，像素级随机 realization 必须重抽","all","physics_basis only","configs/perturbation_metadata.v8.schema.json","同一测量条件的重复采集共享条件但不共享随机噪声 realization","state pool 与复用次数未冻结"
R06,pending_numeric,"all","保持 Independent baseline 的单变量边缘范围和近似分布","all","methodological fairness","configs/simulation.v7.candidate.json","隔离联合结构效应，避免用更有利的边缘分布制造收益","待 10000 谱审计阈值批准"
R07,reject,"global","单一 severity 同时控制五种扰动","all","SimXRD 2025 OpenReview PDF p.16 is post-hoc interval analysis only","none","没有证据证明所有因素共享单调严重度","禁止进入 v0"
R08,reject,"instrument","峰移幅度与峰宽强度强制单调相关","peak_shift;peak_width","none found","none","二者可同属仪器状态但没有普遍单调关系依据","禁止进入正式配置"
R09,reject,"sample","择优取向强度与展宽强度强制单调相关","preferred_orientation;peak_width","none found","none","共同属于样品因素不等于数值相关","禁止进入正式配置"
R10,reject,"acquisition","背景越强则 count_scale 必然越低","background;noise","CPICANN 2024 IUCrJ PDF p.3 provides conditions, not a universal law","none","背景贡献与采集计数可以共同影响观测但无普遍单调参数关系","只保留 Poisson 对总期望计数的条件性"
R11,defer_v1,"peak_width","改为角度相关 Scherrer/Caglioti/微应变 renderer","peak_width","Salgado 2023 PDF p.10; SimXRD 2025 OpenReview PDF p.21","current V7 uses scalar FWHM in src/xrd_robustness/simulator.py:199-204","物理上重要但会改变单扰动机制与边缘分布","作为 mechanism-OOD 或 v1，不混入 v0"
R12,future_branch,"learning objective","使用已知扰动参数监督表征解耦","model features","future research branch record","not in formal V8 training","有价值但属于另一条研究问题","不进入 V8 v0"
R13,future_branch,"evaluation","研究样本结构利用效率/学习曲线","training data budget","future research branch record","not in formal V8 training","会引入独立的数据预算研究轴","不进入 V8 主线"
